结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品数量,业务类型,订单类型,订单总价,商品总价,运费,店铺劵,结算前退款金额,平台补贴,达人补贴,抖音支付补贴,抖音月付营销补贴,用户实付,收入合计,平台服务费,佣金,渠道分成,招商服务费,直播间站外推广,其他分成,其他分成说明,支出合计,备注
 , , ,收入+支出, , , , , , , , ,商品总价+运费, , , ,退给用户的货款+运费+退补贴, , , , , ,用户实付+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴,'-(用户实付+平台补贴+达人补贴)*费率,'-(用户实付-运费+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴)*费率, , , ,除“佣金、渠道分成、招商服务费、直播间站外推广”等账单中已分列展示之外的分成项目, ,平台服务费+达人佣金+渠道分成+招商服务费+直播站外推广+其他分成, 
2022-09-15 18:48:24,'4973307167941365168,'4973307167941365168,132.05,聚合账户,已结算,否,2022-09-01 20:01:25,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0.03,138.97,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 18:48:21,'4967342364622464032,'4967342364622464032,65.55,聚合账户,已结算,否,2022-08-16 18:15:55,'3562294316670045829,1,精选联盟,普通订单,69,69,0,0,0,0,0,0.08,0,68.92,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-15 18:08:11,'4967022131873117582,'4967022131873117582,-65.55,聚合账户,结算后退款-原路退回,否,2022-08-15 21:30:36,'3562294316670045829,1,精选联盟,普通订单,0,0,0,0,0,0,0,0,0,-69,-69,3.45,0,0,0,0,0,,3.45,
2022-09-15 20:40:21,'4968829106191312721,'4968829106191312721,65.55,聚合账户,已结算,否,2022-08-20 18:24:07,'3562294316670045829,1,精选联盟,普通订单,69,69,0,0,0,0,0,0,0,69,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-15 20:39:47,'4974401950835603376,'4974401950835603376,132.05,聚合账户,已结算,否,2022-09-04 18:51:53,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 20:39:06,'4969583899465780320,'4969583899465911392,65.55,聚合账户,已结算,否,2022-08-22 19:15:36,'3562792515713237221,1,精选联盟,普通订单,69,69,0,0,0,0,0,0.03,0,68.97,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-15 20:39:06,'4969583899465780320,'4969583899465780320,65.55,聚合账户,已结算,否,2022-08-22 19:15:36,'3562792515713237221,1,精选联盟,普通订单,69,69,0,0,0,0,0,0.03,0,68.97,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-15 22:20:57,'4975141011609298210,'4975141011609298210,132.05,聚合账户,已结算,否,2022-09-06 18:38:56,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0.08,0,138.92,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 00:13:53,'4973286659492332961,'4973286659492332961,132.05,微信,已结算,否,2022-09-01 18:46:03,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 00:12:45,'4974397505529064739,'4974397505529064739,132.05,微信,已结算,否,2022-09-04 18:33:42,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 00:12:40,'4975891398247951571,'4975891398247951571,132.05,微信,已结算,否,2022-09-08 19:12:42,'3566418879083380207,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 07:48:08,'4974407499915320740,'4974407499915320740,132.05,聚合账户,已结算,否,2022-09-04 19:10:14,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.08,0,138.92,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 07:47:58,'4975138301487931029,'4975138301487931029,132.05,聚合账户,已结算,否,2022-09-06 18:28:36,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.06,0,138.94,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 07:47:47,'4974024569217532980,'4974024569217532980,132.05,聚合账户,已结算,否,2022-09-03 18:28:23,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 07:47:26,'4975135226282127225,'4975135226282127225,132.05,聚合账户,已结算,否,2022-09-06 18:15:37,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.02,0,138.98,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 09:34:29,'4975135359448219605,'4975135359448219605,132.05,聚合账户,已结算,否,2022-09-06 18:16:16,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0.02,138.98,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 09:33:00,'4974043213669375278,'4974043213669375278,132.05,聚合账户,已结算,否,2022-09-03 19:38:14,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0.07,138.93,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 14:59:04,'4973287883542373684,'4973287883542373684,132.05,聚合账户,已结算,否,2022-09-01 18:51:10,'3566385702583328359,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 14:57:47,'4969581365424825476,'4969581365424825476,65.55,聚合账户,已结算,否,2022-08-22 19:06:11,'3562792515713237221,1,精选联盟,普通订单,69,69,0,0,0,0,0,0,0,69,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-16 14:57:38,'4969947124835606176,'4969947124835606176,65.55,聚合账户,已结算,否,2022-08-23 18:48:31,'3566931470528439831,1,小店自卖,普通订单,169,169,0,100,0,0,0,0,0.01,68.99,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-16 14:57:05,'4974390972888669407,'4974390972888669407,132.05,聚合账户,已结算,否,2022-09-04 18:08:56,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0.02,0,138.98,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 15:01:18,'4970315126222286604,'4970315126222286604,65.55,聚合账户,已结算,否,2022-08-24 18:31:40,'3562792515713237221,1,精选联盟,普通订单,69,69,0,0,0,0,0,0,0,69,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-16 17:48:33,'4973652496197336340,'4973652496197336340,-132.05,聚合账户,结算后退款-原路退回,否,2022-09-02 18:23:02,'3568637652754402212,1,小店自卖,普通订单,0,0,0,0,0,0,0,0,0,-139,-139,6.95,0,0,0,0,0,,6.95,
2022-09-16 18:43:20,'4975133830430664625,'4975133830430664625,132.05,聚合账户,已结算,否,2022-09-06 18:10:23,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.02,0,138.98,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-16 18:43:03,'4971426556383026622,'4971426556383026622,65.55,聚合账户,已结算,否,2022-08-27 18:25:42,'3562792515713237221,1,精选联盟,普通订单,69,69,0,0,0,0,0,0,0.5,68.5,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-16 18:43:02,'4970313099006762913,'4970313099006762913,65.55,聚合账户,已结算,否,2022-08-24 18:23:19,'3562792515713237221,1,精选联盟,普通订单,69,69,0,0,0,0,0,0.02,0,68.98,69,-3.45,0,0,0,0,0,,-3.45,
2022-09-16 18:42:39,'4967365252513219743,'4967365252513219743,65.55,聚合账户,已结算,否,2022-08-16 19:44:42,'3562294316670045829,1,精选联盟,普通订单,69,69,0,0,0,0,0,0.02,0,68.98,69,-3.45,0,0,0,0,0,,-3.45,
