结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品数量,业务类型,订单类型,订单总价,商品总价,运费,店铺劵,结算前退款金额,平台补贴,达人补贴,抖音支付补贴,抖音月付营销补贴,用户实付,收入合计,平台服务费,佣金,渠道分成,招商服务费,直播间站外推广,其他分成,其他分成说明,支出合计,备注
 , , ,收入+支出, , , , , , , , ,商品总价+运费, , , ,退给用户的货款+运费+退补贴, , , , , ,用户实付+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴,'-(用户实付+平台补贴+达人补贴)*费率,'-(用户实付-运费+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴)*费率, , , ,除“佣金、渠道分成、招商服务费、直播间站外推广”等账单中已分列展示之外的分成项目, ,平台服务费+达人佣金+渠道分成+招商服务费+直播站外推广+其他分成, 
2022-10-02 15:06:04,'4977734978582306058,'4977734978582306058,132.05,聚合账户,已结算,否,2022-09-13 18:28:03,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0.05,138.95,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-02 15:05:34,'4980751115075178446,'4980751115075178446,264.1,聚合账户,已结算,否,2022-09-21 21:23:48,'3569536155676452535,2,小店自卖,普通订单,278,278,0,0,0,0,0,0,0,278,278,-13.9,0,0,0,0,0,,-13.9,
2022-10-02 17:51:26,'4981446435911057271,'4981446435911057271,47.4,聚合账户,已结算,否,2022-09-23 18:28:55,'3573241853509814561,1,小店自卖,普通订单,49.9,49.9,0,0,0,0,0,0.01,0,49.89,49.9,-2.5,0,0,0,0,0,,-2.5,
2022-10-02 19:44:35,'4980702972777338122,'4980702972777338122,132.05,聚合账户,已结算,否,2022-09-21 18:21:09,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-02 19:22:30,'4977372616487933717,'4977372616487933717,132.05,聚合账户,已结算,否,2022-09-12 19:00:55,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0.16,0,0,0,138.84,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-03 09:43:59,'4980342281427549197,'4980342281427549197,132.05,聚合账户,已结算,否,2022-09-20 19:03:16,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-03 09:43:11,'4974046172909127377,'4974046172909127377,132.05,聚合账户,已结算,否,2022-09-03 19:48:43,'3566418879083380207,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-03 12:09:02,'4980341731673620164,'4980341731673620164,132.05,聚合账户,已结算,否,2022-09-20 19:01:32,'3569541324543778578,1,鲁班广告,普通订单,139,139,0,0,0,100.22,0,0,0,38.78,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-03 15:27:15,'4975512680913176050,'4975512680913176050,-132.05,聚合账户,结算后退款-原路退回,否,2022-09-07 18:45:25,'3568637652754402212,1,鲁班广告,普通订单,0,0,0,0,0,0,0,0,-0.03,-138.97,-139,6.95,0,0,0,0,0,,6.95,
2022-10-03 15:19:12,'4980713615706594595,'4980713615706594595,132.05,聚合账户,已结算,否,2022-09-21 19:02:26,'3568615580909081638,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0.5,138.5,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-03 18:34:22,'4981088931436447087,'4981088931436447087,113.05,聚合账户,已结算,否,2022-09-22 19:19:53,'3568615580909081638,1,小店自卖,普通订单,139,139,0,20,0,0,0,0.07,0,118.93,119,-5.95,0,0,0,0,0,,-5.95,
2022-10-03 18:32:33,'4980327472391569168,'4980327472391569168,132.05,聚合账户,已结算,否,2022-09-20 18:06:30,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0.04,138.96,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-03 21:01:16,'4981081282096635520,'4981081282096635520,113.05,聚合账户,已结算,否,2022-09-22 18:51:22,'3568615580909081638,1,小店自卖,普通订单,139,139,0,20,0,0,0,0,0,119,119,-5.95,0,0,0,0,0,,-5.95,
2022-10-03 22:10:32,'4974410802744708797,'4974410802744708797,132.05,聚合账户,已结算,否,2022-09-04 19:24:46,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 00:42:25,'4978112149746003786,'4978112149746003786,141.55,微信,已结算,否,2022-09-14 18:50:11,'3569537424679927567,1,小店自卖,普通订单,149,149,0,0,0,0,0,0,0,149,149,-7.45,0,0,0,0,0,,-7.45,
2022-10-04 00:37:38,'4980711021553448202,'4980711021553448202,132.05,微信,已结算,否,2022-09-21 18:53:37,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 02:33:23,'4981094394625936797,'4981094394625936797,113.05,微信,已结算,否,2022-09-22 19:40:43,'3568615580909081638,1,鲁班广告,普通订单,139,139,0,20,0,0,0,0,0,119,119,-5.95,0,0,0,0,0,,-5.95,
2022-10-04 02:32:51,'4979957340683468620,'4979957340683468620,132.05,微信,已结算,否,2022-09-19 18:09:25,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0.74,0,0,0,138.26,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 02:32:45,'4980702796700933844,'4980702796700933844,132.05,微信,已结算,否,2022-09-21 18:21:34,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 12:51:06,'4981081531200579096,'4981081531200579096,113.05,聚合账户,已结算,否,2022-09-22 18:53:42,'3568615580909081638,1,小店自卖,普通订单,139,139,0,20,0,0,0,0,0,119,119,-5.95,0,0,0,0,0,,-5.95,
2022-10-04 12:51:06,'4980347594311445598,'4980347594311445598,65.55,聚合账户,已结算,否,2022-09-20 19:23:31,'3562899007086947321,1,精选联盟,普通订单,69,69,0,0,0,0,0,0,0,69,69,-3.45,0,0,0,0,0,,-3.45,
2022-10-04 12:50:45,'4981086629325313976,'4981086629325313976,113.05,聚合账户,已结算,否,2022-09-22 19:10:34,'3568615580909081638,1,鲁班广告,普通订单,139,139,0,20,0,0,0,0,0,119,119,-5.95,0,0,0,0,0,,-5.95,
2022-10-04 15:01:04,'4980333438115012406,'4980333438115012406,132.05,聚合账户,已结算,否,2022-09-20 18:22:35,'3569541324543778578,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:01:03,'4980710360119174524,'4980710360119174524,132.05,聚合账户,已结算,否,2022-09-21 18:49:46,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:01:02,'4980712563447160099,'4980712563447160099,132.05,聚合账户,已结算,否,2022-09-21 19:00:26,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:01:02,'4980712254213561659,'4980712254213561659,132.05,聚合账户,已结算,否,2022-09-21 18:59:52,'3569541324543778578,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:01:01,'4980338879811013767,'4980338879811013767,132.05,聚合账户,已结算,否,2022-09-20 18:50:16,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:01:00,'4980700842481294495,'4980700842481294495,132.05,聚合账户,已结算,否,2022-09-21 18:13:38,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:00:45,'4980711154713019669,'4980711154713019669,132.05,聚合账户,已结算,否,2022-09-21 18:53:42,'3569541324543778578,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:00:45,'4980347340905098598,'4980347340905098598,132.05,聚合账户,已结算,否,2022-09-20 19:21:34,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.01,0,138.99,139,-6.95,0,0,0,0,0,,-6.95,
2022-10-04 15:00:44,'4980710501861749801,'4980710501861749801,132.05,聚合账户,已结算,否,2022-09-21 18:50:58,'3569541324543778578,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
