订单号,子订单号,下单时间,订单收入(元),订单支出(元),订单净收益(元),结算状态,结算时间,业务类型,结算账户,订单类型,商品id,商品数量,订单总价(元),运费实付(元),商品总价(元),店铺券(元),订单实付(元),订单实付应结(元),平台补贴_运费(元),平台补贴(元),达人补贴(元),抖音支付补贴(元),抖音月付营销补贴(元),实际平台补贴_运费(元),实际平台补贴(元),实际达人补贴(元),实际抖音支付补贴(元),实际抖音月付营销补贴(元),实际补贴金额(元),订单退款(元),结算前退款(元),平台服务费(元),佣金(元),渠道分成(元),招商服务费(元),直播间站外推广(元),其他分成,退款扣佣金(元),备注
'4973278606412307880,'4973278606412307880,2022/9/1 18:12,69,3.45,65.55,已结算,2022/9/13 18:14,小店自卖,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,68.98,68.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-3.45,0,0,0,0,0,0,
'4973277936414948491,'4973277936414948491,2022/9/1 18:12,139,6.95,132.05,已结算,2022/9/19 17:36,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973278318656959928,'4973278318656959928,2022/9/1 18:11,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973277403821848009,'4973277403821848009,2022/9/1 18:10,139,6.95,132.05,已结算,2022/9/19 17:36,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973277519794068723,'4973277519794068723,2022/9/1 18:10,139,6.95,132.05,已结算,2022/9/20 19:01,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973277807558715139,'4973277807558715139,2022/9/1 18:10,139,6.95,132.05,已结算,2022/9/15 18:49,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,137.8,137.8,0,0,0,1.2,0,0,0,0,1.2,0,1.2,0,0,-6.95,0,0,0,0,0,0,
'4973278103899156371,'4973278103899156371,2022/9/1 18:09,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973306094206117416,'4973306094206117416,2022/9/1 19:59,139,6.95,132.05,已结算,2022/9/20 19:02,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.92,138.92,0,0,0,0.08,0,0,0,0,0.08,0,0.08,0,0,-6.95,0,0,0,0,0,0,
'4973305561640396144,'4973305561640396144,2022/9/1 19:55,139,6.95,132.05,已结算,2022/9/15 2:46,小店自卖,微信,普通订单,'3568614350375808534,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973305102066265891,'4973305102066265891,2022/9/1 19:53,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
